artist_name,track_name,end_time,ms_played,track_id,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key,loudness_adj,date,mins_played,liked
El Ezequiel,Tres Gallitos,2020-01-01 00:14,43814,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-01,0.73,False
El Ezequiel,Tres Gallitos,2020-01-01 00:19,200945,3FWAZnfVEWlUBB4YyZ0lEK,3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0.0,0.592,200945,-3.72,0.856,1,3,0.8971420486700622,2020-01-01,3.35,True
Los Pericos,Runaway,2020-01-01 00:27,233267,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-01,3.89,True
Iggy Azalea,Kream (feat. Tyga),2020-01-01 00:27,7032,5mu1uv8RmzDkF8foePK5qa,5mu1uv8RmzDkF8foePK5qa,0.425,0.108,174.028,0.137,0.0335,4.36e-06,0.785,166627,-6.665,0.192,1,10,0.8276976042256178,2020-01-01,0.12,False
Duki,She Don't Give a Fo,2020-01-01 00:29,117738,03a359wbiUsjN9h6yzXvmS,03a359wbiUsjN9h6yzXvmS,0.556,0.165,119.938,0.14,0.345,0.0,0.854,209531,-4.49,0.342,1,1,0.8789850971514808,2020-01-01,1.96,False
Post Malone,Congratulations,2020-01-01 00:43,152740,3a1lNhkSLSkpJE4MSHpDu9,3a1lNhkSLSkpJE4MSHpDu9,0.804,0.253,123.146,0.0363,0.215,0.0,0.63,220293,-4.183,0.492,1,6,0.8862242973023957,2020-01-01,2.55,False
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 02:44,245534,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-01,4.09,True
Canserbero,Llovía,2020-01-01 02:49,292075,0V5aSGaNYMwnpv4CZO7JkD,0V5aSGaNYMwnpv4CZO7JkD,0.674,0.0696,84.006,0.122,0.524,0.693,0.494,292075,-4.392,0.566,0,4,0.8812959818902093,2020-01-01,4.87,True
Los Pericos,Runaway,2020-01-01 02:50,42025,0ZLakHzHWqUIlkeDa4i8aC,0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9,0.8609932088285228,2020-01-01,0.7,False
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 02:54,235423,1hSJnfkEqbGF5afz5aqKqi,1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1,0.7529003961516695,2020-01-01,3.92,True
