artist_name,track_name,end_time,ms_played,track_id
El Ezequiel,Tres Gallitos,2020-01-01 00:14,43814,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 00:15,34780,
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 00:16,88514,
El Ezequiel,Tres Gallitos,2020-01-01 00:19,200945,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 00:23,206714,
Los Pericos,Runaway,2020-01-01 00:27,233267,0ZLakHzHWqUIlkeDa4i8aC
Iggy Azalea,Kream (feat. Tyga),2020-01-01 00:27,7032,5mu1uv8RmzDkF8foePK5qa
Duki,She Don't Give a Fo,2020-01-01 00:29,117738,03a359wbiUsjN9h6yzXvmS
Post Malone,Congratulations,2020-01-01 00:43,152740,3a1lNhkSLSkpJE4MSHpDu9
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 02:44,245534,1hSJnfkEqbGF5afz5aqKqi
Canserbero,Llovía,2020-01-01 02:49,292075,0V5aSGaNYMwnpv4CZO7JkD
Los Pericos,Runaway,2020-01-01 02:50,42025,0ZLakHzHWqUIlkeDa4i8aC
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 02:54,235423,1hSJnfkEqbGF5afz5aqKqi
El Ezequiel,Tres Gallitos,2020-01-01 02:57,200945,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 03:01,227959,
Los Pericos,Runaway,2020-01-01 03:13,1906,0ZLakHzHWqUIlkeDa4i8aC
El Ezequiel,Tres Gallitos,2020-01-01 05:04,200945,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 05:08,227959,
Los Pericos,Runaway,2020-01-01 05:12,233267,0ZLakHzHWqUIlkeDa4i8aC
Iggy Azalea,Kream (feat. Tyga),2020-01-01 05:15,166626,5mu1uv8RmzDkF8foePK5qa
Duki,She Don't Give a Fo,2020-01-01 05:18,209531,03a359wbiUsjN9h6yzXvmS
Molotov,Frijolero,2020-01-01 05:22,210133,5YyetAy34sgROhslaW3BZc
Duki,Hello Cotto,2020-01-01 05:25,217286,422Avi2VjqZKCVzstKmqog
Akapellah,Ímpetu,2020-01-01 05:28,185306,0r8pwDCv77bCJ2edzbIyJR
Lil Supa,'99,2020-01-01 05:32,181333,709mETGcDrctQgqJKLwCWm
Lil Supa,Valórate,2020-01-01 05:36,237035,3Cvj23hegZs1XDlfPWbJdp
Lil Supa,Mista Uanteik,2020-01-01 05:41,260649,5ZAVPUsb3KumdvhQrFetiY
Lil Supa,光 Luz,2020-01-01 05:44,220606,5aF2hoUHaU9GainPXIZDMV
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 05:48,237760,1hSJnfkEqbGF5afz5aqKqi
Santaflow,Las Cartas Sobre la Mesa,2020-01-01 06:07,485262,3NmOEBbvcQKb0JeYOFH48O
Cypress Hill,Siempre Peligroso (feat. Fermin IV Caballero),2020-01-01 06:35,237760,1hSJnfkEqbGF5afz5aqKqi
Santaflow,Las Cartas Sobre la Mesa,2020-01-01 06:47,668745,3NmOEBbvcQKb0JeYOFH48O
Santaflow,Las Cartas Sobre la Mesa,2020-01-01 14:46,2031,3NmOEBbvcQKb0JeYOFH48O
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 14:50,227959,
Los Pericos,Runaway,2020-01-01 15:09,58549,0ZLakHzHWqUIlkeDa4i8aC
El Ezequiel,Tres Gallitos,2020-01-01 15:27,206136,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 15:31,227959,
Los Pericos,Runaway,2020-01-01 15:35,233267,0ZLakHzHWqUIlkeDa4i8aC
Iggy Azalea,Kream (feat. Tyga),2020-01-01 15:37,166626,5mu1uv8RmzDkF8foePK5qa
Duki,She Don't Give a Fo,2020-01-01 15:41,209531,03a359wbiUsjN9h6yzXvmS
Molotov,Frijolero,2020-01-01 15:44,210133,5YyetAy34sgROhslaW3BZc
Duki,Hello Cotto,2020-01-01 15:48,217286,422Avi2VjqZKCVzstKmqog
Akapellah,Ímpetu,2020-01-01 15:51,185306,0r8pwDCv77bCJ2edzbIyJR
Lil Supa,'99,2020-01-01 15:54,181333,709mETGcDrctQgqJKLwCWm
Lil Supa,Valórate,2020-01-01 15:58,237035,3Cvj23hegZs1XDlfPWbJdp
Lil Supa,Mista Uanteik,2020-01-01 16:02,260649,5ZAVPUsb3KumdvhQrFetiY
Lil Supa,光 Luz,2020-01-01 16:07,284000,5aF2hoUHaU9GainPXIZDMV
La Bomba de Tiempo,Bolivia,2020-01-01 16:11,240799,2MuDW3QK1SAk35OnTnDLLp
Guaynaa,Chicharrón,2020-01-01 16:40,60037,5UVa8Qqb9L1dVxl3jKQ5J1
El Ezequiel,Tres Gallitos,2020-01-01 20:25,200945,3FWAZnfVEWlUBB4YyZ0lEK
4 Elementos,Cypher #1 (Reggae Cypher),2020-01-01 20:28,227959,
Los Pericos,Runaway,2020-01-01 20:32,233267,0ZLakHzHWqUIlkeDa4i8aC
Iggy Azalea,Kream (feat. Tyga),2020-01-01 20:35,166626,5mu1uv8RmzDkF8foePK5qa
Duki,She Don't Give a Fo,2020-01-01 20:45,209531,03a359wbiUsjN9h6yzXvmS
Molotov,Frijolero,2020-01-01 20:48,210133,5YyetAy34sgROhslaW3BZc
Duki,Hello Cotto,2020-01-01 20:52,217286,422Avi2VjqZKCVzstKmqog
Akapellah,Ímpetu,2020-01-01 20:55,185306,0r8pwDCv77bCJ2edzbIyJR
