song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
3FWAZnfVEWlUBB4YyZ0lEK,0.542,0.155,85.15,0.0354,0.699,0,0.592,200945,-3.72,0.856,1,3
0ZLakHzHWqUIlkeDa4i8aC,0.731,0.624,150.151,0.0368,0.0438,1.26e-05,0.676,233268,-5.253,0.812,1,9
5mu1uv8RmzDkF8foePK5qa,0.425,0.108,174.028,0.137,0.0335,4.36e-06,0.785,166627,-6.665,0.192,1,10
03a359wbiUsjN9h6yzXvmS,0.556,0.165,119.938,0.14,0.345,0,0.854,209531,-4.49,0.342,1,1
3a1lNhkSLSkpJE4MSHpDu9,0.804,0.253,123.146,0.0363,0.215,0,0.63,220293,-4.183,0.492,1,6
1hSJnfkEqbGF5afz5aqKqi,0.615,0.0578,92.089,0.377,0.0289,3.1e-05,0.901,237760,-9.837,0.674,0,1
0V5aSGaNYMwnpv4CZO7JkD,0.674,0.0696,84.006,0.122,0.524,0.693,0.494,292075,-4.392,0.566,0,4
5YyetAy34sgROhslaW3BZc,0.653,0.0609,95.009,0.0361,0.107,0,0.774,210133,-4.304,0.845,1,2
422Avi2VjqZKCVzstKmqog,0.785,0.0506,139.956,0.344,0.0472,0,0.843,217250,-2.893,0.43,0,10
0r8pwDCv77bCJ2edzbIyJR,0.667,0.0933,92.308,0.288,0.275,0,0.473,185587,-6.756,0.107,1,2
709mETGcDrctQgqJKLwCWm,0.84,0.35,179.97,0.374,0.111,0,0.563,181333,-4.716,0.783,1,1
3Cvj23hegZs1XDlfPWbJdp,0.704,0.229,80.621,0.29,0.772,0.0176,0.4,237035,-8.696,0.482,0,8
5ZAVPUsb3KumdvhQrFetiY,0.745,0.213,92.167,0.214,0.291,0,0.646,260650,-6.768,0.511,0,4
5aF2hoUHaU9GainPXIZDMV,0.934,0.122,149.68,0.237,0.0893,0.019,0.461,284000,-4.947,0.636,0,8
3NmOEBbvcQKb0JeYOFH48O,0.863,0.472,169.978,0.255,0.0133,0,0.695,705004,-4.965,0.787,1,7
2MuDW3QK1SAk35OnTnDLLp,0.598,0.591,100.014,0.0648,0.44,0.0274,0.737,240799,-9.817,0.766,0,9
5UVa8Qqb9L1dVxl3jKQ5J1,0.789,0.498,76.182,0.454,0.445,9.06e-05,0.734,195867,-4.305,0.811,0,10
21jGcNKet2qwijlDFuPiPb,0.762,0.0863,120.042,0.0395,0.192,0.00244,0.695,215280,-3.497,0.553,1,0
7CZyCXKG6d5ALeq41sLzbw,0.8,0.147,139.919,0.0502,0.0906,0,0.499,229573,-2.665,0.272,0,1
2FhLn92NDtRW6hKJvj9yX5,0.627,0.151,147.839,0.0315,0.397,0,0.556,295718,-4.931,0.364,0,4
05mDaV9Vb3wrzjF6OPZnhq,0.684,0.104,132.113,0.0439,0.0545,0,0.617,150867,-3.618,0.295,1,0
43Q1jBoHh3pQkh3Oy7TA1g,0.761,0.05,105.005,0.0343,0.108,5.05e-05,0.784,204989,-4.253,0.385,0,10
6ovp1nCwIAOSMotiCF7pjk,0.637,0.366,130.071,0.0977,0.165,0,0.851,242500,-5.534,0.526,1,5
6TodWdTSDfzwgYynTZSvJn,0.678,0.167,89.968,0.0878,0.359,4.76e-06,0.409,280842,-7.731,0.168,1,9
4bEwaORm2IBfu3omjEna7I,0.711,0.401,94.034,0.195,0.131,0,0.836,249344,-3.377,0.618,0,4
1VIQPJc3fGfX23S6SD651l,0.534,0.615,93.477,0.386,0.504,0,0.747,282697,-8.635,0.569,1,8
4YvVZba3sBU3qLI7I6TVWD,0.502,0.0854,124.973,0.0422,0.195,0,0.758,192000,-7.478,0.089,0,11
7KAveXwQ5xzdHT6GDlNIBu,0.723,0.106,123.993,0.0458,0.243,0,0.801,244972,-5.595,0.599,0,7
1EoEU4HY57qaITp06TkC6B,0.779,0.189,108.287,0.0414,0.186,0,0.473,164458,-3.725,0.438,1,1
2lllz0GoFtRdHMaqGlqcoL,0.793,0.337,124.978,0.116,0.0616,3.3e-05,0.904,211929,-5.514,0.708,1,7
51CmC2Dx6cvWJxbsdcpu76,0.59,0.152,129.997,0.095,0.203,0,0.817,169846,-4.197,0.461,0,0
4znBsOXb9COwElnqcvPQQs,0.605,0.158,115.015,0.0552,0.443,0,0.787,161936,-6.889,0.59,0,7
6HvD8JhIe9Mq6gyql32rYb,0.785,0.0772,97.014,0.271,0.451,2.44e-06,0.903,220311,-5.731,0.642,0,9
4dqAbOYUuKiMsmopVOLLJD,0.721,0.11,74.967,0.0607,0.296,0,0.643,178154,-5.082,0.579,0,0
2u5yscz12pZF9Z3ls3BshU,0.771,0.111,115.008,0.0323,0.153,0,0.77,280172,-5.1,0.538,0,8
2H2pkZBzWDX2TzGW7sp014,0.612,0.231,99.983,0.0592,0.204,0,0.853,362281,-5.271,0.589,0,10
668JOhJXCQeUkAsjfREN78,0.596,0.127,146.028,0.111,0.137,0,0.769,164200,-5.931,0.143,1,7
1zzaawknHz9bMofpqN1wVS,0.521,0.108,150.017,0.236,0.199,1.28e-06,0.849,180800,-7.087,0.623,1,2
74MujHggasHq5FMkTKsNkA,0.64,0.634,90.009,0.0597,0.436,4.91e-05,0.8,202667,-4.493,0.493,1,8
6OWwrGLVeyTgVqJK5j0rT9,0.79,0.204,100.03,0.0823,0.284,0.000469,0.831,122482,-5.09,0.647,0,2
